X,Y,S,T
-40.0,-20.0,90.0,474.0
-40.0,-10.0,88.0,373.0
-40.0,0.0,84.0,273.0
-40.0,10.0,88.0,171.0
-40.0,20.0,84.0,40.0
-40.0,30.0,87.0,20.0
-30.0,-20.0,244.0,462.0
-30.0,-10.0,247.0,376.0
-30.0,0.0,253.0,282.0
-30.0,10.0,252.0,189.0
-30.0,20.0,253.0,126.0
-30.0,30.0,255.0,56.0
-20.0,-20.0,359.0,461.0
-20.0,-10.0,361.0,395.0
-20.0,0.0,370.0,293.0
-20.0,10.0,378.0,204.0
-20.0,20.0,377.0,107.0
-20.0,30.0,380.0,30.0
-20.0,-20.0,359.0,461.0
-20.0,-10.0,361.0,395.0
-20.0,0.0,370.0,293.0
-20.0,10.0,378.0,204.0
-20.0,20.0,377.0,107.0
-20.0,30.0,380.0,30.0
-10.0,-20.0,463.0,466.0
-10.0,-10.0,467.0,397.0
-10.0,0.0,473.0,312.0
-10.0,10.0,481.0,218.0
-10.0,20.0,497.0,85.0
-10.0,30.0,499.0,16.0
0.0,-20.0,563.0,468.0
0.0,-10.0,574.0,384.0
0.0,0.0,587.0,302.0
0.0,10.0,595.0,217.0
0.0,20.0,611.0,82.0
